id,family,genus,species,location,weight,tl,sl,delta15N,troph
MOO18_F247,Labridae,Epibulus,Epibulus insidiator,Moorea,183.4,238,173,10.21,4.01
MOO18_F248,Labridae,Thalassoma,Thalassoma hardwicke,Moorea,103.9,197,145,8.45,3.5
MOO18_F251,Acanthuridae,Naso,Naso lituratus,Moorea,253.1,350,200,6.74,2.32
MOO18_F253,Balistidae,Sufflamen,Sufflamen bursa,Moorea,76.7,160,130,10.83,3.36
MOO18_F254,Chaetodontidae,Chaetodon,Chaetodon ornatissimus,Moorea,69.9,126,102,9.69,3.34
MOO18_F259,Balistidae,Melichthys,Melichthys vidua,Moorea,282.6,205,162,9.2,3.38
MOO18_F260,Balistidae,Melichthys,Melichthys niger,Moorea,342.8,239,187,9.09,2.73
MOO18_F262,Labridae,Coris,Coris gaimard,Moorea,117.4,215,176,11.25,3.4
MOO18_F263,Balistidae,Melichthys,Melichthys vidua,Moorea,158.9,176,134,9.87,3.38
MOO18_F265,Cirrhitidae,Paracirrhites,Paracirrhites hemistictus,Moorea,171.7,221,174,10.78,3.83
MOO18_F270,Labridae,Gomphosus,Gomphosus varius,Moorea,111.2,212,168,10.77,3.5
MOO18_F271,Cirrhitidae,Paracirrhites,Paracirrhites hemistictus,Moorea,157.1,215,185,10.67,3.83
MOO18_F274,Zanclidae,Zanclus,Zanclus cornutus,Moorea,96.9,160,130,9.89,2.49
MOO18_F276,Chaetodontidae,Forcipiger,Forcipiger flavissimus,Moorea,55.1,176,142,9.34,3.38
MOO18_F277,Chaetodontidae,Chaetodon,Chaetodon vagabundus,Moorea,74.2,149,119,10.1,2.9
MOO18_F279,Lethrinidae,Gnathodentex,Gnathodentex aureolineatus,Moorea,161.8,226,166,9.33,3.65
MOO18_F281,Acanthuridae,Zebrasoma,Zebrasoma scopas,Moorea,121.7,175,140,5.84,2
MOO18_F282,Balistidae,Melichthys,Melichthys vidua,Moorea,296.7,225,179,9.63,3.38
MOO18_F284,Labridae,Halichoeres,Halichoeres hortulanus,Moorea,185.2,241,203,8.74,3.4
MOO18_F285,Mullidae,Parupeneus,Parupeneus multifasciatus,Moorea,67.3,174,129,8.89,3.61
MOO18_F286,Acanthuridae,Zebrasoma,Zebrasoma scopas,Moorea,125.9,175,140,6.19,2
MOO18_F287,Mullidae,Parupeneus,Parupeneus multifasciatus,Moorea,117.1,217,165,8.72,3.61
MOO18_F288,Chaetodontidae,Chaetodon,Chaetodon lunulatus,Moorea,43.98,120,100,10.06,3.34
MOO18_F289,Labridae,Halichoeres,Halichoeres hortulanus,Moorea,107.6,200,170,8.53,3.4
MOO18_F292,Holocentridae,Sargocentron,Sargocentron caudimaculatum,Moorea,89.4,180,137,10.6,3.89
MOO18_F294,Chaetodontidae,Chaetodon,Chaetodon ephippium,Moorea,101.5,182,146,10.33,3.01
MOO18_F295,Acanthuridae,Acanthurus,Acanthurus nigricans,Moorea,116.5,270,230,7.34,2
MOO18_F297,Acanthuridae,Acanthurus,Acanthurus pyroferus,Moorea,59.7,155,108,7.67,2
MOO18_F298,Acanthuridae,Acanthurus,Acanthurus nigricans,Moorea,134.1,171,138,6.85,2
MOO18_F299,Acanthuridae,Naso,Naso lituratus,Moorea,112.5,195,140,7.31,2.32
MOO18_F300,Chaetodontidae,Chaetodon,Chaetodon reticulatus,Moorea,48.3,119,97,9.85,2.63
MOO18_F301,Chaetodontidae,Chaetodon,Chaetodon reticulatus,Moorea,31.2,104,75,9.57,2.63
MOO18_F303,Serranidae,Cephalopholis,Cephalopholis urodeta,Moorea,97.5,185,160,11.85,4.02
MOO18_F304,Cirrhitidae,Paracirrhites,Paracirrhites hemistictus,Moorea,103.1,181,140,10.36,3.83
MOO18_F305,Balistidae,Melichthys,Melichthys niger,Moorea,220.7,202,165,9.88,2.73
MOO18_F306,Cirrhitidae,Paracirrhites,Paracirrhites hemistictus,Moorea,168.4,209,165,10.67,3.83
MOO18_F307,Labridae,Epibulus,Epibulus insidiator,Moorea,212.7,265,230,11.73,4.01
MOO18_F313,Serranidae,Cephalopholis,Cephalopholis urodeta,Moorea,89.6,181,142,11.33,4.02
MOO18_F314,Labridae,Gomphosus,Gomphosus varius,Moorea,66.5,192,156,11.38,3.5
MOO18_F316,Chaetodontidae,Chaetodon,Chaetodon quadrimaculatus,Moorea,42.9,110,88,10.49,3.55
MOO18_F317,Labridae,Chlorurus,Chlorurus spilurus,Moorea,293.2,237,182,6.71,2.12
MOO18_F318,Chaetodontidae,Chaetodon,Chaetodon ornatissimus,Moorea,80.8,134,110,10.28,3.34
MOO18_F320,Chaetodontidae,Chaetodon,Chaetodon reticulatus,Moorea,53.6,115,90,9.38,2.63
MOO18_F321,Chaetodontidae,Chaetodon,Chaetodon reticulatus,Moorea,55.5,121,100,9.37,2.63
MOO18_F322,Holocentridae,Sargocentron,Sargocentron spiniferum,Moorea,212,231,185,12.27,3.8
MOO18_F323,Holocentridae,Sargocentron,Sargocentron spiniferum,Moorea,348.4,260,220,12.26,3.8
MOO18_F324,Holocentridae,Sargocentron,Sargocentron spiniferum,Moorea,413.1,285,198,12.69,3.8
MOO18_F327,Balistidae,Melichthys,Melichthys niger,Moorea,289.6,240,172,9.68,2.73
MOO18_F331,Monacanthidae,Cantherhines,Cantherhines sandwichiensis,Moorea,77.8,161,125,9.13,2.66
MOO18_F332,Mullidae,Parupeneus,Parupeneus multifasciatus,Moorea,33.6,139,105,9.55,3.61
MOO18_F333,Labridae,Gomphosus,Gomphosus varius,Moorea,76,185,160,9.75,3.5
MOO18_F334,Tetraodontidae,Arothron,Arothron meleagris,Moorea,305.2,212,165,9.82,3.06
MOO18_F335,Lethrinidae,Monotaxis,Monotaxis grandoculis,Moorea,784.1,365,280,11.68,3.4
MOO18_F336,Serranidae,Cephalopholis,Cephalopholis argus,Moorea,187.3,210,180,11.64,4.16
MOO18_F338,Holocentridae,Sargocentron,Sargocentron tiere,Moorea,144.8,210,175,11.89,4.18
MOO18_F339,Serranidae,Cephalopholis,Cephalopholis urodeta,Moorea,87.9,176,141,12.12,4.02
MOO18_F340,Serranidae,Epinephelus,Epinephelus hexagonatus,Moorea,70.6,170,145,10.51,4.05
MOO18_F343,Fistulariidae,Fistularia,Fistularia commersonii,Moorea,223.5,745,630,10.62,4.28
MOO18_F344,Cirrhitidae,Paracirrhites,Paracirrhites hemistictus,Moorea,93.1,175,150,11.88,3.83
MOO18_F347,Scorpaenidae,Pterois,Pterois radiata,Moorea,28.2,117,85,9.39,3.57
MOO18_F349,Aulostomidae,Aulostomus,Aulostomus chinensis,Moorea,198.4,464,405,10.91,4.24
MOO18_F350,Serranidae,Cephalopholis,Cephalopholis argus,Moorea,254,248,198,11.36,4.16
MOO18_F351,Holocentridae,Sargocentron,Sargocentron microstoma,Moorea,59.4,159,130,11.11,3.61
MOO18_F352,Cirrhitidae,Paracirrhites,Paracirrhites forsteri,Moorea,93.7,170,135,11.39,4.3
MOO18_F353,Holocentridae,Sargocentron,Sargocentron tiere,Moorea,133.1,312,172,11.71,4.18
MOO18_F354,Holocentridae,Sargocentron,Sargocentron microstoma,Moorea,59.3,164,135,11.04,3.61
MOO18_F355,Holocentridae,Myripristis,Myripristis berndti,Moorea,127,195,154,10.63,3.72
MOO18_F358,Holocentridae,Myripristis,Myripristis kuntee,Moorea,87.6,162,108,10.84,3.1
MOO18_F362,Caesionidae,Pterocaesio,Pterocaesio tile,Moorea,243.5,255,192,9.31,3.33
MOO18_F363,Scorpaenidae,Pterois,Pterois radiata,Moorea,116.4,181,130,11.51,3.57
MOO18_F364,Lutjanidae,Aphareus,Aphareus furca,Moorea,504,330,250,11.54,4.14
MOO18_F365,Balistidae,Sufflamen,Sufflamen bursa,Moorea,78.1,150,130,10.59,3.36
MOO18_F366,Balistidae,Sufflamen,Sufflamen bursa,Moorea,60.8,138,118,10.49,3.36
MOO18_F367,Serranidae,Cephalopholis,Cephalopholis urodeta,Moorea,130.1,178,155,11.65,4.02
MOO18_F372,Chaetodontidae,Chaetodon,Chaetodon reticulatus,Moorea,45,120,95,9.31,2.63
MOO18_F374,Pomacentridae,Dascyllus,Dascyllus flavicaudus,Moorea,20,80,60,8.79,2.94
MOO18_F375,Chaetodontidae,Forcipiger,Forcipiger longirostris,Moorea,43,180,153,12.7,3.5
MOO18_F376,Pomacentridae,Dascyllus,Dascyllus flavicaudus,Moorea,21.4,95,70,9.29,2.94
MOO18_F377,Chaetodontidae,Chaetodon,Chaetodon reticulatus,Moorea,61.5,125,95,10.45,2.63
MOO18_F380,Chaetodontidae,Chaetodon,Chaetodon quadrimaculatus,Moorea,93.2,109,92,10.01,3.55
MOO18_F381,Serranidae,Cephalopholis,Cephalopholis urodeta,Moorea,35.2,105,82,11.45,4.02
MOO18_F382,Chaetodontidae,Chaetodon,Chaetodon pelewensis,Moorea,19.3,92,78,11.54,2.92
MOO18_F383,Pomacentridae,Dascyllus,Dascyllus flavicaudus,Moorea,39.8,110,85,9.69,2.94
MOO18_F385,Acanthuridae,Zebrasoma,Zebrasoma scopas,Moorea,60.7,137,96,5.99,2
MOO18_F387,Balistidae,Sufflamen,Sufflamen bursa,Moorea,107.1,164,125,11.61,3.36
MOO18_F389,Balistidae,Sufflamen,Sufflamen bursa,Moorea,110.2,169,132,11.27,3.36
MOO18_F396,Zanclidae,Zanclus,Zanclus cornutus,Moorea,80.5,155,124,10.37,2.49
MOO18_F398,Lutjanidae,Lutjanus,Lutjanus fulvus,Moorea,153.2,220,180,11.61,3.66
MOO18_F400,Labridae,Halichoeres,Halichoeres trimaculatus,Moorea,22.3,120,100,7.91,3.46
MOO18_F401,Chaetodontidae,Chaetodon,Chaetodon ephippium,Moorea,81.9,157,130,9.57,3.01
MOO18_F402,Mullidae,Parupeneus,Parupeneus multifasciatus,Moorea,177.2,240,195,11.39,3.61
MOO18_F404,Lutjanidae,Lutjanus,Lutjanus fulvus,Moorea,206.7,235,191,10.49,3.66
MOO18_F405,Labridae,Thalassoma,Thalassoma hardwicke,Moorea,73.2,170,140,8.93,3.5
MOO18_F406,Labridae,Thalassoma,Thalassoma hardwicke,Moorea,21.3,119,98,8.41,3.5
MOO18_F408,Labridae,Chlorurus,Chlorurus spilurus,Moorea,133.7,187,155,5.18,2.12
MOO18_F410,Holocentridae,Myripristis,Myripristis violacea,Moorea,136.1,180,145,10.47,3.45
MOO18_F412,Pomacanthidae,Centropyge,Centropyge flavissima,Moorea,26.8,101,84,9.36,2.75
MOO18_F413,Chaetodontidae,Chaetodon,Chaetodon vagabundus,Moorea,74.3,150,120,10.11,2.9
MOO18_F414,Chaetodontidae,Chaetodon,Chaetodon ephippium,Moorea,115.3,173,141,9.78,3.01
MOO18_F415,Holocentridae,Neoniphon,Neoniphon sammara,Moorea,123.2,220,190,9.74,3.37
MOO18_F418,Chaetodontidae,Heniochus,Heniochus chrysostomus,Moorea,35.8,110,90,9.02,3.34
MOO18_F420,Chaetodontidae,Heniochus,Heniochus chrysostomus,Moorea,46.2,115,95,8.76,3.34
MOO18_F423,Chaetodontidae,Chaetodon,Chaetodon lunulatus,Moorea,17.5,85,66,8.08,3.34
MOO18_F424,Holocentridae,Neoniphon,Neoniphon sammara,Moorea,86.5,185,142,9.32,3.37
MOO18_F427,Fistulariidae,Fistularia,Fistularia commersonii,Moorea,456,930,835,10.61,4.28
MOO18_F430,Scorpaenidae,Pterois,Pterois radiata,Moorea,100.1,197,155,10.77,3.57
MOO18_F432,Balistidae,Sufflamen,Sufflamen bursa,Moorea,117,182,141,10.39,3.36
MOO18_F434,Chaetodontidae,Forcipiger,Forcipiger flavissimus,Moorea,36.9,145,121,10.21,3.38
MOO18_F435,Pomacentridae,Dascyllus,Dascyllus flavicaudus,Moorea,33.9,110,90,10.18,2.94
MOO18_F436,Chaetodontidae,Heniochus,Heniochus chrysostomus,Moorea,54.8,135,117,11.01,3.34
MOO18_F437,Tetraodontidae,Arothron,Arothron meleagris,Moorea,NA,261,202,9.76,3.06
MOO18_F439,Mullidae,Parupeneus,Parupeneus multifasciatus,Moorea,102.6,200,160,9.89,3.61
MOO18_F441,Balistidae,Rhinecanthus,Rhinecanthus aculeatus,Moorea,132.2,182,152,8.88,3.22
MOO18_F442,Chaetodontidae,Chaetodon,Chaetodon vagabundus,Moorea,63.6,125,102,10.76,2.9
MOO18_F446,Serranidae,Epinephelus,Epinephelus merra,Moorea,121.5,210,175,10.74,4.38
MOO18_F447,Chaetodontidae,Chaetodon,Chaetodon vagabundus,Moorea,69.2,136,117,9.06,2.9
MOO18_F448,Pomacentridae,Stegastes,Stegastes nigricans,Moorea,49.5,120,95,6.88,2.93
MOO18_F451,Holocentridae,Neoniphon,Neoniphon sammara,Moorea,109.8,222,187,9.82,3.37
MOO18_F453,Balistidae,Balistapus,Balistapus undulatus,Moorea,179.8,187,145,8.62,3.37
MOO18_F458,Pinguipedidae,Parapercis,Parapercis millepunctata,Moorea,17.3,122,104,7.33,3.63
MOO18_F459,Chaetodontidae,Heniochus,Heniochus chrysostomus,Moorea,97,142,110,10.17,3.34
MOO18_F463,Chaetodontidae,Chaetodon,Chaetodon unimaculatus,Moorea,84.6,143,122,9.44,3.21
MOO18_F477,Scorpaenidae,Scorpaenopsis,Scorpaenopsis papuensis,Moorea,218.8,203,162,10.96,4.12
